,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
348,-1.01162790698,11.4042553191,0.147270026288,0.223096331907,19.3729860813,2.25218202135,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,5.19445211191,0.047883939658,397.606185503,36.5639415263
349,-1.01162790698,11.5744680851,0.142414857976,0.219954365687,19.3811365391,2.25970561567,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,2.624326354,0.0498006666788,403.540606182,36.5793244343
350,-1.01162790698,11.7446808511,0.137113782264,0.21689508506,19.3896132483,2.26643605857,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,2.40022755931,0.0532897459447,409.475026861,36.5953230986
351,-1.01162790698,11.914893617,0.131673158386,0.214236146733,19.3986838433,2.27061263887,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-0.206918045499,0.0513400221264,415.40944754,36.6124426436
352,-1.01162790698,12.085106383,0.126130970314,0.211949374135,19.4074225705,2.27513707191,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.04699520559,0.0471233285108,421.343868219,36.628935832
353,-1.01162790698,12.2553191489,0.120765576228,0.209961105041,19.4154435626,2.27996210374,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,8.81500972726,0.0428308302543,427.278288898,36.6440743906
354,-1.01162790698,12.4255319149,0.11580500221,0.208627471965,19.4227339167,2.28569950358,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,9.81669645355,0.0390555172645,433.212709578,36.6578339669
355,-1.01162790698,12.5957446809,0.111136001725,0.207788484369,19.4293816643,2.29247617484,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,8.08058989169,0.0425754439984,439.147130257,36.6703807088
356,-1.01162790698,12.7659574468,0.107179733974,0.207075504496,19.4366285484,2.2987245311,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.81040667977,0.045215671214,445.081550936,36.6840582412
357,-1.01162790698,12.9361702128,0.103362180094,0.206431964522,19.4443248328,2.30316932883,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-2.72693887639,0.045572008767,451.015971615,36.6985839573
358,-1.01162790698,13.1063829787,0.100424655648,0.205661667759,19.4520817705,2.30754493131,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-2.61116655605,0.0458468514624,456.950392294,36.7132241482
359,-1.01162790698,13.2765957447,0.0978311576687,0.204840368066,19.4598854899,2.31198504221,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,2.14256050638,0.0416162109756,462.884812973,36.7279526335
360,-1.01162790698,13.4468085106,0.0957659581782,0.204537473003,19.4669691003,2.31864175771,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,6.37432636064,0.0409998634831,468.819233652,36.7413220085
361,-1.01162790698,13.6170212766,0.093824238708,0.204332527483,19.4739478005,2.32551967966,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,2.65930519966,0.0473255618164,474.753654332,36.7544933794
362,-1.01162790698,13.7872340426,0.0917395016676,0.203859453055,19.4820032152,2.33045710711,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-3.54746755081,0.045701931685,480.688075011,36.7696969062
363,-1.01162790698,13.9574468085,0.0897075409337,0.203460812537,19.4897822674,2.3356823618,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-6.07099773408,0.0479328886303,486.62249569,36.7843788354
364,-1.01162790698,14.1276595745,0.0878637764811,0.202733871759,19.497941057,2.33876541547,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-6.08329625642,0.0487144738814,492.556916369,36.7997774685
365,-1.01162790698,14.2978723404,0.0859250973677,0.202069277449,19.5062328823,2.34197354493,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-3.33176578314,0.0401935281388,498.491337048,36.815427189
366,-1.01162790698,14.4680851064,0.0846285526897,0.201665506674,19.5130743339,2.34783492023,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,6.39455872857,0.0378268730103,504.425757727,36.8283395214
367,-1.01162790698,14.6382978723,0.0836248041541,0.201372391629,19.5195129506,2.35413370181,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,7.64818383114,0.0381667632405,510.360178406,36.8404915563
368,-1.01162790698,14.8085106383,0.0828706423608,0.201243065696,19.526009421,2.36040201707,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,5.21745702125,0.0408100275392,516.294599086,36.8527527824
369,-1.01162790698,14.9787234043,0.0819213606115,0.200938524087,19.5329558086,2.36537006029,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-2.75488349093,0.044069510931,522.229019765,36.8658631677
370,-1.01162790698,15.1489361702,0.0807124634877,0.200310937469,19.540457002,2.36886585465,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-3.31950265958,0.0427629915876,528.163440444,36.8800206752
371,-1.01162790698,15.3191489362,0.0795216993692,0.19966208327,19.547735809,2.37277171894,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-2.06519773387,0.0399714812256,534.097861123,36.8937584581
372,-1.01162790698,15.4893617021,0.0784526507947,0.199081162938,19.5545394654,2.37756035649,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,4.41332118404,0.0381364370896,540.032281802,36.906599457
373,-1.01162790698,15.6595744681,0.0775919692718,0.198545320775,19.5610307739,2.38269656323,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,4.99920731813,0.0374208145541,545.966702481,36.9188509407
374,-1.01162790698,15.829787234,0.0768518959627,0.197970039631,19.5674002742,2.38790617807,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,0.856795115522,0.0384464846989,551.90112316,36.9308725277
375,-1.01162790698,16.0,0.0763817514645,0.197522347661,19.5739443567,2.39232804269,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-7.09064049194,0.0422908756372,557.83554384,36.9432236154
376,-1.01162790698,16.170212766,0.0755437752074,0.197111907212,19.5811428036,2.39477768284,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-8.16049404105,0.0380324500094,563.769964519,36.9568097291
377,-1.01162790698,16.3404255319,0.0749230966026,0.197415375918,19.5876164121,2.39922852249,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-3.8948965294,0.0356700744135,569.704385198,36.9690278065
378,-1.01162790698,16.5106382979,0.0744446428205,0.197957862844,19.5936879142,2.40446528726,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,0.90298801367,0.033987976067,575.638805877,36.9804869612
379,-1.01162790698,16.6808510638,0.0741706926176,0.198298455745,19.5994731016,2.41113532644,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.07577434937,0.0332817242489,581.573226556,36.9914057351
380,-1.01162790698,16.8510638298,0.0738651850472,0.198558349774,19.6051380759,2.41796143638,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-0.960653702032,0.0427612954768,587.507647235,37.0020976228
381,-1.01162790698,17.0212765957,0.0736559648411,0.197956276261,19.6124165943,2.4213353229,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-6.49731155554,0.0400219658224,593.442067914,37.0158348608
