,x [mm],y [mm],u_rms [m/s],v_rms [m/s],u [m/s],w,v [m/s],Reynold_stress_uv,case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
91,-0.994082840237,13.9809160305,0.223841666506,0.10983922105,19.3961036888,0.0496666700511,2.29327743008,-0.0100844006544,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,3.01609185681,0.0422248094833,485.422201521,36.7597990381
92,-0.994082840237,14.1221374046,0.223407606435,0.108865166733,19.4020667345,0.0512205913055,2.29985995433,-0.0101742553224,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-1.53511104745,0.0430901564633,490.325456082,36.7711002954
93,-0.994082840237,14.2633587786,0.222870535222,0.108150343645,19.4081519856,0.0538188362301,2.30643355776,-0.0102524840147,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,-0.734282926297,0.0402645117193,495.228710643,36.7826331585
94,-0.994082840237,14.4045801527,0.221635024727,0.107633148622,19.4138381952,0.0558068346461,2.31190438255,-0.0102763419488,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,3.30816816054,0.03930715694,500.131965204,36.7934097519
95,-0.994082840237,14.5458015267,0.219991546518,0.107195701147,19.4193892059,0.0569497121586,2.31662777737,-0.0102613513839,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,0.726977720869,0.0397848082262,505.035219765,36.8039301143
96,-0.994082840237,14.6870229008,0.218435519692,0.106682699521,19.4250076712,0.0549019220259,2.32083928009,-0.0101844038136,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.47279928236,0.0374371526298,509.938474325,36.8145783175
97,-0.994082840237,14.8282442748,0.216959547862,0.10630315632,19.4302945974,0.0513117974113,2.32499654094,-0.0100382567677,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,3.65230327632,0.03990720129,514.841728886,36.8245981826
98,-0.994082840237,14.9694656489,0.215224632551,0.105979605147,19.4359303472,0.0483268508493,2.32900462218,-0.00986563159282,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,5.12694769911,0.0316875850416,519.744983447,36.8352791438
99,-0.994082840237,15.1106870229,0.215179923334,0.105744140226,19.4404053115,0.048036220187,2.33554939607,-0.00986143886055,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,12.2539352811,0.0319636004244,524.648238008,36.8437601661
100,-0.994082840237,15.2519083969,0.215386371204,0.105353132007,19.444919255,0.047040341263,2.34252209851,-0.00993880193894,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,10.722122287,0.0354184348893,529.551492569,36.8523150625
